         725212601 function calls (725086874 primitive calls) in 1232.125 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.000    0.000 constructor.py:105(construct_scalar)
        8    0.000    0.000    0.000    0.000 constructor.py:112(construct_sequence)
       36    0.000    0.000    0.003    0.000 constructor.py:120(construct_mapping)
      174    0.000    0.000    0.001    0.000 constructor.py:163(construct_scalar)
       36    0.000    0.000    0.000    0.000 constructor.py:170(flatten_mapping)
        1    0.000    0.000    0.000    0.000 constructor.py:20(__init__)
       36    0.000    0.000    0.003    0.000 constructor.py:205(construct_mapping)
       17    0.000    0.000    0.000    0.000 constructor.py:227(construct_yaml_int)
        1    0.000    0.000    0.078    0.078 constructor.py:35(get_single_data)
      157    0.000    0.000    0.001    0.000 constructor.py:383(construct_yaml_str)
       16    0.000    0.000    0.000    0.000 constructor.py:390(construct_yaml_seq)
       72    0.000    0.000    0.004    0.000 constructor.py:395(construct_yaml_map)
        1    0.000    0.000    0.004    0.004 constructor.py:42(construct_document)
      218    0.001    0.000    0.003    0.000 constructor.py:55(construct_object)
    12804    0.036    0.000    0.036    0.000 converters.py:69(Thing2Str)
     1152    0.001    0.000    0.001    0.000 converters.py:84(None2NULL)
       38    0.000    0.000    0.002    0.000 crud.py:118(_create_bind_param)
       20    0.000    0.000    0.000    0.000 crud.py:131(_key_getters_for_crud_column)
       13    0.000    0.000    0.003    0.000 crud.py:203(_scan_cols)
       38    0.000    0.000    0.003    0.000 crud.py:257(_append_param_parameter)
       13    0.000    0.000    0.004    0.000 crud.py:29(_get_crud_params)
        5    0.000    0.000    0.000    0.000 crud.py:406(_append_param_update)
       13    0.000    0.000    0.000    0.000 crud.py:527(_get_returning_modifiers)
       52    0.000    0.000    0.000    0.000 crud.py:69(<genexpr>)
    15418    0.019    0.000    0.019    0.000 cursors.py:103(_check_executed)
    10456    0.154    0.000    0.154    0.000 cursors.py:107(_warning_check)
    10456    0.068    0.000    0.159    0.000 cursors.py:122(nextset)
    10456    0.154    0.000    0.388    0.000 cursors.py:142(_do_get_result)
    52280    0.047    0.000    0.047    0.000 cursors.py:159(_get_db)
    10414    0.264    0.000    5.068    0.000 cursors.py:164(execute)
       42    0.002    0.000    0.022    0.001 cursors.py:210(executemany)
    10456    0.095    0.000    4.178    0.000 cursors.py:315(_do_query)
    10456    0.016    0.000    0.075    0.000 cursors.py:324(_fetch_row)
    10456    0.037    0.000    0.162    0.000 cursors.py:351(_get_result)
    10456    0.037    0.000    4.335    0.000 cursors.py:353(_query)
    10456    0.045    0.000    0.121    0.000 cursors.py:358(_post_get_result)
    15418    0.058    0.000    0.082    0.000 cursors.py:380(fetchall)
    10456    0.254    0.000    0.263    0.000 cursors.py:75(__init__)
    10456    0.028    0.000    0.035    0.000 cursors.py:92(__del__)
    20912    0.039    0.000    0.197    0.000 cursors.py:97(close)
        7    0.000    0.000    0.000    0.000 ddl.py:1063(<genexpr>)
        7    0.000    0.000    0.001    0.000 ddl.py:937(sort_tables)
        7    0.000    0.000    0.001    0.000 ddl.py:996(sort_tables_and_constraints)
       49    0.000    0.000    0.001    0.000 default.py:342(type_descriptor)
     5445    0.020    0.000    0.020    0.000 default.py:393(set_connection_execution_options)
        1    0.000    0.000    0.000    0.000 default.py:408(do_begin)
    10414    0.057    0.000    5.125    0.000 default.py:441(do_execute)
    10456    0.573    0.000    1.486    0.000 default.py:507(_init_compiled)
        1    0.000    0.000    0.000    0.000 default.py:680(no_parameters)
    10456    0.045    0.000    0.050    0.000 default.py:684(should_autocommit)
    10456    0.045    0.000    0.414    0.000 default.py:736(create_cursor)
    10456    0.006    0.000    0.006    0.000 default.py:739(pre_exec)
    10456    0.006    0.000    0.006    0.000 default.py:742(post_exec)
    21023    0.058    0.000    0.167    0.000 default.py:745(get_result_processor)
     5403    0.005    0.000    0.005    0.000 default.py:755(get_lastrowid)
    10456    0.053    0.000    0.768    0.000 default.py:786(get_result_proxy)
     5452    0.070    0.000    0.655    0.000 default.py:799(_setup_crud_result_proxy)
     5403    0.177    0.000    0.332    0.000 default.py:837(_setup_ins_pk_from_lastrowid)
     7028    0.076    0.000    0.833    0.000 default_comparator.py:21(_boolean_compare)
     7028    0.065    0.000    0.580    0.000 default_comparator.py:269(_check_literal)
  1031732   34.218    0.000   44.131    0.000 distance.py:25(_edit_dist_init)
331579025  653.079    0.000  797.076    0.000 distance.py:36(_edit_dist_step)
  1031732  306.351    0.000 1167.977    0.001 distance.py:57(edit_distance)
       14    0.000    0.000    0.000    0.000 dml.py:183(__init__)
       14    0.000    0.000    0.000    0.000 dml.py:32(_process_colparams)
       14    0.000    0.000    0.000    0.000 dml.py:33(process_single)
